SrNo,MenuName,Icon,ISDDM,AccessTo,ControllerName,ActionName,IsActive,EntryBy,EntryDate,Position
145,,,,15.0,ProjectProfile,GetCodeInt,True,PIS200002,2021-12-02 12:50:39.653,
146,,,,15.0,ProjectProfile,getIP,True,PIS200002,2021-12-02 12:52:54.700,
147,,,,10.0,FragmentationDetails,Edit,True,PIS200002,2021-12-02 13:06:06.403,
148,,,,10.0,FragmentationDetails,Create,True,PIS200002,2021-12-02 13:09:14.127,
149,,,,10.0,EmployeeHourDetails,wilcard_ApproveNBA,True,PIS200002,2021-12-02 14:12:34.407,
150,,,,10.0,EmployeeHourDetails,wilcard_RejectNBA,True,PIS200002,2021-12-02 14:12:49.230,
151,,,,10.0,ProjectExecn,Save_team_details,True,PIS200002,2021-12-02 14:16:38.607,
152,,,,10.0,ProjectExecn,Del_team_details,True,PIS200002,2021-12-02 14:16:49.693,
153,,,,15.0,ProjectDetails,Create,True,PIS200002,2021-12-02 14:23:26.167,
154,Special Access For Nishant & Vikash,"<i class=""fas fa-clipboard-check""></i>",True,,,,True,PIS200002,2021-12-02 14:35:12.890,
155,,,,10.0,BackLog,Delete,True,PIS200002,2021-12-02 14:47:53.870,
156,Special Access For Sougato,"<i class=""fas fa-clipboard-check""></i>",True,,,,True,PIS200002,2021-12-02 14:35:12.890,
157,,,,10.0,ResourceTransfer,Delete,True,PIS200002,2021-12-02 15:01:17.960,
160,,,,14.0,IT_Project_FolderLocation,Create,True,PIS200002,2021-12-02 16:05:32.607,
161,,,,28.0,AuditPublish2019,publish,True,PIS200002,2021-12-02 16:26:11.400,
162,,,,28.0,CFeedback2018,Create,True,PIS200002,2021-12-02 17:43:30.137,
163,,,,11.0,ILAssignment,Index,True,PIS200002,2021-12-02 18:32:54.367,
164,,,,13.0,ILAssignment,Index,True,PIS200002,2021-12-02 18:32:54.380,
165,,,,11.0,ILAssignment,Create,True,PIS200002,2021-12-02 18:33:50.947,
166,,,,13.0,ILAssignment,Create,True,PIS200002,2021-12-02 18:33:50.960,
167,,,,11.0,TeamMemberActivity,Edit,True,PIS200002,2021-12-02 18:40:32.197,
168,,,,13.0,TeamMemberActivity,Edit,True,PIS200002,2021-12-02 18:40:32.213,
169,,,,11.0,IdleHour,Edit,True,PIS200002,2021-12-02 18:42:24.997,
170,,,,13.0,IdleHour,Edit,True,PIS200002,2021-12-02 18:42:25.027,
171,,,,11.0,ILReports,Index,True,PIS200002,2021-12-03 10:56:10.483,
172,,,,13.0,ILReports,Index,True,PIS200002,2021-12-03 10:56:10.543,
173,,,,11.0,ILReports,Details,True,PIS200002,2021-12-03 15:19:53.787,
174,,,,13.0,ILReports,Details,True,PIS200002,2021-12-03 15:19:53.833,
175,,,,10.0,ProjectExecn,Del_POC,True,PIS200002,2021-12-03 18:35:47.203,
177,,,,10.0,ProjectExecn,Del_team_details,True,PIS200002,2021-12-04 10:46:18.610,
178,,,,10.0,ProjectExecn,wildcard_Team_Declaration,True,PIS200002,2021-12-04 11:25:45.217,
179,,,,11.0,ProjectExecn,wildcard_Team_Declaration,True,PIS200002,2021-12-04 11:25:45.247,
180,,,,10.0,HrOneImage,1234,True,PIS200002,2021-12-04 12:06:04.477,
181,,,,28.0,ILReports,Details,True,PIS200002,2021-12-03 15:19:53.833,
182,,,,17.0,Backlog,Index,True,PIS200002,2021-12-13 11:02:04.187,
183,,,,17.0,Backlog,Delete,True,PIS200002,2021-12-14 09:57:21.923,
184,COE Project Review,"<i class=""fa fa-book""></i>",True,,,,True,PIS200002,2021-12-14 11:18:09.047,
185,,,,28.0,ProjectReview,AddFirstItem,True,PIS200002,2021-12-14 11:20:36.167,
186,,,,37.0,ProjectAnalysis,Approve_ProjectRunning,True,PIS200002,2021-12-14 15:09:31.613,
187,,,,37.0,ProjectAnalysis,WithdrawApprove_ProjectRunning,True,PIS200002,2021-12-14 15:09:45.167,
188,,,,34.0,ILReports,Details,True,PIS02419,2021-12-21 15:50:32.557,
189,Addin Mapping,"<i class=""fa fa-book""></i>",False,34.0,Addin_Declaration,Wildcard_AddinMapping,True,PIS02419,2021-12-27 12:59:00.073,
190,,,,37.0,ResourceLoading,Index,True,PIS02419,2021-12-28 11:08:42.130,
191,,,,10.0,ProjectExecn,ChangeRequest,True,PIS02419,2021-12-28 12:08:38.757,
192,,,,28.0,ClientFeedback2021,exportEligibleProjects,True,PIS03082,2022-01-07 16:53:17.127,
194,,,,10.0,ProjectExecn,ChangeRequest,True,PIS02419,2021-12-28 12:08:38.757,
195,,,,15.0,ProjectProfile,ApproveOrder,True,PIS02419,2021-12-29 12:31:16.430,
196,,,,15.0,ProjectProfile,RejectOrder,True,PIS02419,2021-12-29 12:31:41.410,
197,IL Assignment,"<i class=""icon-arrow-right""></i>",True,,,,True,PIS200002,2022-01-06 11:52:36.547,
198,,,,11.0,ILReports,Member_Requisition,True,PIS02419,2022-01-07 10:44:54.060,
199,,,,13.0,ILReports,Member_Requisition,True,PIS02419,2022-01-07 10:44:54.060,
200,,,,13.0,ILReports,ChangeStatusIL_Requisition,True,PIS02419,2022-01-07 11:52:18.597,
201,,,,11.0,ILReports,ChangeStatusIL_Requisition,True,PIS02419,2022-01-07 11:52:18.597,
202,Manage Team for BSD,"<i class=""fas fa-users""></i>",True,,,,True,PIS02419,2022-01-15 17:03:30.013,
203,,,,15.0,ResourceTrnsfr_Prmnt,Index,True,PIS02419,2022-01-15 17:15:49.203,
204,,,,23.0,ResourceTrnsfr_Prmnt,Index,True,PIS02419,2022-01-15 17:15:49.263,
205,,,,27.0,ResourceTrnsfr_Prmnt,Index,True,PIS02419,2022-01-15 17:15:49.280,
206,,,,28.0,ResourceTrnsfr_Prmnt,Index,True,PIS02419,2022-01-15 17:15:49.310,
207,,,,29.0,ResourceTrnsfr_Prmnt,Index,True,PIS02419,2022-01-15 17:15:49.327,
208,,,,34.0,ResourceTrnsfr_Prmnt,Index,True,PIS02419,2022-01-15 17:15:49.357,
209,,,,35.0,ResourceTrnsfr_Prmnt,Index,True,PIS02419,2022-01-15 17:15:49.373,
210,,,,37.0,ResourceTrnsfr_Prmnt,Index,True,PIS02419,2022-01-15 17:15:49.407,
211,,,,15.0,ResourceTransfer,Index,True,PIS02419,2022-01-15 17:16:35.123,
212,,,,23.0,ResourceTransfer,Index,True,PIS02419,2022-01-15 17:16:35.140,
213,,,,27.0,ResourceTransfer,Index,True,PIS02419,2022-01-15 17:16:35.170,
214,,,,28.0,ResourceTransfer,Index,True,PIS02419,2022-01-15 17:16:35.187,
215,,,,29.0,ResourceTransfer,Index,True,PIS02419,2022-01-15 17:16:35.217,
216,,,,34.0,ResourceTransfer,Index,True,PIS02419,2022-01-15 17:16:35.250,
217,,,,35.0,ResourceTransfer,Index,True,PIS02419,2022-01-15 17:16:35.267,
218,,,,37.0,ResourceTransfer,Index,True,PIS02419,2022-01-15 17:16:35.297,
219,,,,15.0,ResourceTrnsfr_Prmnt,Details,True,PIS02419,2022-01-15 17:20:06.497,
220,,,,23.0,ResourceTrnsfr_Prmnt,Details,True,PIS02419,2022-01-15 17:20:06.513,
221,,,,27.0,ResourceTrnsfr_Prmnt,Details,True,PIS02419,2022-01-15 17:20:06.543,
222,,,,28.0,ResourceTrnsfr_Prmnt,Details,True,PIS02419,2022-01-15 17:20:06.560,
223,,,,29.0,ResourceTrnsfr_Prmnt,Details,True,PIS02419,2022-01-15 17:20:06.590,
224,,,,34.0,ResourceTrnsfr_Prmnt,Details,True,PIS02419,2022-01-15 17:20:06.607,
225,,,,35.0,ResourceTrnsfr_Prmnt,Details,True,PIS02419,2022-01-15 17:20:06.637,
226,,,,37.0,ResourceTrnsfr_Prmnt,Details,True,PIS02419,2022-01-15 17:20:06.653,
227,,,,14.0,ResourceTransfer,Delete,True,PIS02419,2022-01-19 14:21:33.667,
228,,,,15.0,ResourceTransfer,Delete,True,PIS02419,2022-01-19 14:21:33.727,
229,,,,21.0,ResourceTransfer,Delete,True,PIS02419,2022-01-19 14:21:33.743,
230,,,,23.0,ResourceTransfer,Delete,True,PIS02419,2022-01-19 14:21:33.773,
231,,,,27.0,ResourceTransfer,Delete,True,PIS02419,2022-01-19 14:21:33.790,
232,,,,28.0,ResourceTransfer,Delete,True,PIS02419,2022-01-19 14:21:33.820,
233,,,,29.0,ResourceTransfer,Delete,True,PIS02419,2022-01-19 14:21:33.837,
234,,,,34.0,ResourceTransfer,Delete,True,PIS02419,2022-01-19 14:21:33.867,
235,,,,35.0,ResourceTransfer,Delete,True,PIS02419,2022-01-19 14:21:33.883,
236,,,,37.0,ResourceTransfer,Delete,True,PIS02419,2022-01-19 14:21:33.917,
237,,,,15.0,Invoice,wildcard_OutstandingInvoice_pdh,True,PIS02069,2022-01-19 17:36:17.987,
238,,,,10.0,ResourceTrnsfr_Prmnt,BenchSummary,True,PIS200002,2022-01-20 17:40:34.547,
239,,,,15.0,ResourceTrnsfr_Prmnt,BenchSummary,True,PIS200002,2022-01-20 17:40:34.683,
240,,,,23.0,ResourceTrnsfr_Prmnt,BenchSummary,True,PIS200002,2022-01-20 17:40:34.713,
241,,,,28.0,ResourceTrnsfr_Prmnt,BenchSummary,True,PIS200002,2022-01-20 17:40:34.737,
242,,,,29.0,ResourceTrnsfr_Prmnt,BenchSummary,True,PIS200002,2022-01-20 17:40:34.767,
243,,,,34.0,ResourceTrnsfr_Prmnt,BenchSummary,True,PIS200002,2022-01-20 17:40:34.793,
244,,,,37.0,ResourceTrnsfr_Prmnt,BenchSummary,True,PIS200002,2022-01-20 17:40:34.820,
245,,,,10.0,ResourceTrnsfr_Prmnt,BenchTrail,True,PIS200002,2022-01-20 18:19:57.470,
246,,,,15.0,ResourceTrnsfr_Prmnt,BenchTrail,True,PIS200002,2022-01-20 18:19:57.530,
247,,,,28.0,ResourceTrnsfr_Prmnt,BenchTrail,True,PIS200002,2022-01-20 18:19:57.557,
248,,,,29.0,ResourceTrnsfr_Prmnt,BenchTrail,True,PIS200002,2022-01-20 18:19:57.583,
249,,,,37.0,ResourceTrnsfr_Prmnt,BenchTrail,True,PIS200002,2022-01-20 18:19:57.610,
250,,,,28.0,ResourceTrnsfr_Prmnt,BenchSummary,True,PIS02419,2022-01-25 14:18:46.140,
252,,,,10.0,Save_team_details,Del_team_details,True,PIS02419,2022-01-28 18:23:49.413,
253,,,,10.0,ProjectExecn,Save_team_details,True,PIS02419,2022-01-28 18:24:19.257,
254,,,,10.0,Employee,CheckSession,True,PIS02419,2022-02-01 18:27:15.353,
255,,,,10.0,Invoice,CoordinationMeeting,True,PIS200002,2022-02-02 12:44:39.307,
256,,,,10.0,ResourceTransfer,OSDTransfer,True,PIS200002,2022-02-03 14:38:59.010,
257,,,,34.0,ResourceTransfer,OSDTransfer,True,PIS02069,2022-02-03 18:06:09.623,
258,,,,10.0,Leave,ConsecutiveLeave,True,PIS03082,2022-02-04 17:22:33.213,
259,,,,27.0,Exporter,ProjectListComm,True,PIS02069,2022-02-07 10:42:07.477,
260,,,,35.0,Exporter,ProjectListComm,True,PIS02069,2022-02-07 10:42:07.557,
261,,,,10.0,Leave,ConsecutiveLeave,True,PIS02069,2022-02-07 10:45:08.050,
262,,,,15.0,Exporter,ProjectListAll,True,PIS200002,2022-02-07 12:38:35.337,
263,,,,28.0,Exporter,ProjectListAll,True,PIS200002,2022-02-07 12:38:35.393,
264,,,,37.0,Exporter,ProjectListAll,True,PIS200002,2022-02-07 12:38:35.420,
265,,,,28.0,Exporter,EligibleProjects,True,PIS200002,2022-02-07 14:22:51.127,
266,,,,28.0,Exporter,RaisedFeedback,True,PIS200002,2022-02-07 14:36:51.247,
267,,,,17.0,Support,ExportTrail,True,PIS200002,2022-02-07 18:06:40.623,
268,,,,10.0,Invoice,ApproveCoordinationMeeting,True,PIS02069,2022-02-09 14:28:41.080,
269,,,,37.0,Invoice,ProjectListInvoice,True,PIS02069,2022-02-10 16:23:35.413,
270,,,,10.0,TLProjectReport,GanntPlanningChart,True,PIS02069,2022-02-14 15:53:46.757,
271,,,,11.0,TLProjectReport,GanntPlanningChart,True,PIS02069,2022-02-14 15:53:46.890,
272,,,,10.0,ResourceTransfer,checkDate,True,PIS03082,2022-02-14 15:53:46.890,
274,,,,11.0,OutputRegister,Copy,True,PIS02419,2022-02-08 12:14:37.840,
275,,,,11.0,OutputRegister,SubmissionDate,True,PIS02419,2022-02-08 12:14:37.840,
276,,,,11.0,Dashboard,OutputRegister,True,PIS02419,2022-02-09 11:49:37.610,
277,,,,11.0,OutputRegister,SubmissionDateall,True,PIS02069,2022-02-19 11:49:36.607,
278,,,,28.0,OutputRegister,projectlist,True,PIS02419,2022-02-21 09:58:48.537,
279,,,,28.0,OutputRegister,Dashboard,True,PIS02419,2022-02-21 18:10:03.090,
280,,,,15.0,ProjectProfile,ApproveChangeOrder,True,PIS02419,2022-02-22 11:20:00.023,
281,,,,15.0,ProjectProfile,RejectedChangeOrder,True,PIS02419,2022-02-22 11:20:54.530,
282,,,,11.0,ILAssignment,Delete_Requisition,True,PIS02419,2022-02-23 15:16:48.460,
283,,,,13.0,ILAssignment,Delete_Requisition,True,PIS02419,2022-02-23 15:17:28.683,
284,,,,17.0,Support,EmpData,True,PIS02419,2022-02-24 12:10:46.863,
285,,,,17.0,Support,ProjectList,True,PIS02419,2022-02-24 12:31:20.157,
286,,,,17.0,Support,ProjectProfileEdit,True,PIS02419,2022-02-24 12:31:40.180,
287,,,,17.0,Support,ProjectProfileDelete,True,PIS03082,2022-02-24 12:31:40.180,
288,,,,17.0,Support,ProjectDetailsEdit,True,PIS03082,2022-02-24 12:31:40.180,
289,,,,10.0,ProjectExecn,FinishRequestEstimation,True,PIS03082,2022-02-24 12:31:40.180,
290,,,,15.0,ProjectProfile,FinishProjectRequest,True,PIS03082,2022-02-24 12:31:40.180,
291,,,,15.0,ProjectProfile,processRequest,True,PIS03082,2022-02-24 12:31:40.180,
292,,,,36.0,Project_Awarding_Data_Sheet,Details,True,PIS02069,2022-03-07 16:36:49.387,
293,,,,17.0,Support,ConsecutiveLeave,True,PIS03082,2022-03-08 10:34:31.933,
294,,,,28.0,COE,Index,True,pis02419,2022-03-08 12:08:27.507,
295,,,,28.0,COE,Create,True,PIS02419,2022-03-09 12:42:07.863,
296,,,,28.0,COE,ProcessData,True,PIS02419,2022-03-11 11:45:25.140,
297,,,,10.0,COE,Viewsheet,True,PIS02419,2022-03-19 12:01:59.467,
298,,,,11.0,COE,Viewsheet,True,PIS02419,2022-03-19 12:01:59.527,
299,,,,13.0,COE,Viewsheet,True,PIS02419,2022-03-19 12:01:59.560,
300,,,,28.0,COE,Viewsheet,True,PIS02419,2022-03-19 12:01:59.560,
301,,,,28.0,COE,Edit,True,PIS02419,2022-03-09 12:42:07.863,
302,,,,28.0,COE,Approve,True,PIS02419,2022-03-22 10:51:56.007,
303,,,,27.0,Project_Awarding_Data_Sheet,Details,True,PIS03082,2022-03-28 12:08:16.413,
304,,,,10.0,Exporter,JobLoadDetailsPercentageExport,True,PIS03082,2022-03-28 14:15:36.863,
305,,,,10.0,ProjectExecn,FinishedProjectNow,True,PIS03082,2022-04-04 17:47:18.147,
307,,,,10.0,ProjectExecn,ServiceContractor,True,PIS03082,2022-04-05 10:44:13.953,
308,,,,27.0,SpecialReport,ServiceContractorReport,True,PIS03082,2022-04-05 15:58:42.020,
309,,,,36.0,SpecialReport,ServiceContractorReport,True,PIS03082,2022-04-05 15:58:42.067,
310,,,,28.0,COE,ViewToUser,True,PIS02419,2022-03-22 10:51:56.007,
311,,,,28.0,COE,DeleteSheet,True,PIS02419,2022-03-22 10:51:56.007,
312,,,,15.0,ProjectProfile,ProjectProfileDelete,True,PIS02069,2022-04-21 15:51:40.113,
313,,,,15.0,ProjectProfile,ProjectDelete,True,PIS02069,2022-04-21 15:53:40.327,
314,,,,28.0,COE,CopyData,True,pis02419,2022-04-22 14:44:28.750,
315,,,,10.0,Invoice,deleteDuplicateInvoice,True,PIS02069,2022-04-26 16:06:50.370,
316,,,,15.0,ProjectProfile,FinishProjectApprovedList,True,PIS02069,2022-04-27 14:36:12.427,
319,Special Access For Brett,"<i class=""fas fa-clipboard-check""></i>",True,,,,True,PIS200002,2021-12-02 14:35:12.890,
320,,,,17.0,Support,ManageBench,True,PIS03082,2022-05-11 16:11:01.580,
321,,,,17.0,Addin,Details,True,PIS02419,2022-05-12 15:38:57.680,
322,,,,17.0,Addin,UsagebyAddin,True,PIS02419,2022-05-12 15:38:57.680,
323,,,,17.0,Addin,UsagebyAddins,True,PIS02419,2022-05-12 15:38:57.680,
324,,,,17.0,support,BenchJoinRequest,True,PIS02069,2022-05-17 10:04:50.740,
325,Addin Usage,"<i class=""icon-arrow-right""></i>",True,,,,True,PIS03082,2022-05-20 11:34:59.917,
326,,,,23.0,Invoice,wildcard_Export,True,PIS02069,2022-05-21 13:57:25.190,
327,,,,10.0,ResourceTrnsfr_Prmnt,MyBenchMembers,True,PIS02419,2022-05-26 17:51:34.230,
328,,,,37.0,ResourceTrnsfr_Prmnt,MyBenchMembers,True,PIS02419,2022-05-26 17:51:34.230,
329,,,,28.0,ResourceTrnsfr_Prmnt,MyBenchMembers,True,PIS02419,2022-05-26 17:51:34.230,
330,,,,33.0,ResourceTrnsfr_Prmnt,MyBenchMembers,True,PIS02419,2022-05-26 17:51:34.230,
331,,,,10.0,ResourceTrnsfr_Prmnt,saveUptoDate,True,PIS02419,2022-05-26 17:51:34.230,
332,,,,37.0,ResourceTrnsfr_Prmnt,saveUptoDate,True,PIS02419,2022-05-26 17:51:34.230,
333,,,,28.0,ResourceTrnsfr_Prmnt,saveUptoDate,True,PIS02419,2022-05-26 17:51:34.230,
334,,,,33.0,ResourceTrnsfr_Prmnt,saveUptoDate,True,PIS02419,2022-05-26 17:51:34.230,
336,Approval For other GM,"<i class=""fas fa-clipboard-check""></i>",True,,,,True,P200002,2021-11-30 17:48:09.453,
337,,,,17.0,Support,RollbackPDH,True,PIS03082,2022-07-12 17:08:06.897,
338,,,,15.0,ProjectBreakdown,DeleteProjectBreakup,True,PIS03082,2022-07-18 10:17:41.060,
339,,,,17.0,Support,UpdateEmployeeStatus,True,PIS03082,2022-07-18 15:39:07.543,
340,,,,17.0,Ping,checkCookie,True,PIS03082,2022-07-27 14:46:25.097,
341,,,,11.0,OutputRegister,TargetDateall,True,PIS03082,2022-08-03 12:05:24.970,
342,,,,11.0,OutputRegister,DeleteAll,True,PIS03082,2022-08-03 12:57:32.790,
343,,,,17.0,Support,EmployeeList,True,PIS03082,2022-08-24 11:43:25.333,
344,,,,17.0,Support,AddUserToCognito,True,PIS03082,2022-08-24 11:43:34.413,
345,,,,17.0,Support,UpdateUserEmail,True,PIS03082,2022-08-24 12:15:33.183,
346,,,,17.0,Support,UploadBulkUserToCognito,True,PIS03082,2022-08-26 15:17:25.470,
347,,,,17.0,Support,ResetUserToCognito,True,PIS03082,2022-08-26 15:21:32.377,
348,,,,17.0,employee,LoginAdmin,True,PIS03082,2022-08-29 09:38:17.613,
349,,,,10.0,Forum,Index,True,PIS02069,2022-08-29 14:23:09.183,
350,,,,10.0,Forum,SaveForumComment,True,PIS02069,2022-08-29 14:23:25.927,
351,,,,10.0,Forum,GetForum,True,PIS02069,2022-08-29 14:23:40.443,
352,,,,17.0,Support,GetUserState,True,PIS03082,2022-08-31 18:43:42.717,
353,,,,36.0,RMFeedback,FillFeedback,True,PIS03082,2022-09-06 10:17:43.647,
354,,,,36.0,RMFeedback,GetProjectByPDH,True,PIS03082,2022-09-06 10:17:59.147,
355,,,,36.0,RMReport,MyPDHList,True,PIS03082,2022-09-06 17:05:26.563,
356,,,,36.0,RMReport,ViewClient,True,PIS03082,2022-09-06 18:07:42.540,
357,,,,36.0,RMReport,ViewTeam,True,PIS03082,2022-09-06 18:18:35.557,
358,,,,36.0,Forum,Index,True,PIS03082,2022-09-07 12:23:26.603,
359,,,,36.0,Forum,SaveForumComment,True,PIS03082,2022-09-07 12:41:36.787,
360,RM Feedback,"<i class=""icon-arrow-right""></i>",False,36.0,RMFeedback,FillFeedback,True,PIS03082,2022-09-07 16:46:10.893,
361,,,,17.0,Support,ResetBulkUserToCognito,True,PIS03082,2022-09-08 12:10:30.630,
362,,,,17.0,Support,TagBulkUserToCognito,True,PIS03082,2022-09-08 12:27:00.507,
363,,,,17.0,Support,UploadClientToCognito,True,PIS03082,2022-09-08 18:09:43.127,
364,,,,10.0,Support,MemberList,True,PIS03082,2022-09-17 08:21:33.580,
365,,,,10.0,Support,ResetUserToCognitoPDH,True,PIS03082,2022-09-17 08:40:33.537,
366,,,,10.0,Support,AddUserToCognitoPDH,True,PIS03082,2022-09-17 08:42:00.750,
367,,,,10.0,Invoice,FillInvoice,True,PIS03082,2022-09-20 10:54:28.983,
368,,,,15.0,ResourceTrnsfr_Prmnt,CountRevenueDay,True,PIS02419,2022-01-15 17:20:06.497,
369,,,,23.0,ResourceTrnsfr_Prmnt,CountRevenueDay,True,PIS02419,2022-01-15 17:20:06.513,
370,,,,27.0,ResourceTrnsfr_Prmnt,CountRevenueDay,True,PIS02419,2022-01-15 17:20:06.543,
